Entity,Code,Year,Coal Production - EJ,Gas Production - EJ,Oil Production - Tonnes
Africa,,1965,,,106.199560908696
Africa,,1966,,,135.152787389692
Africa,,1967,,,148.679023169034
Africa,,1968,,,190.55253214423198
Africa,,1969,,,242.32969856221803
Africa,,1970,,0.108619785,292.315495199903
Africa,,1971,,0.133282447164,273.519326426511
Africa,,1972,,0.2344854464046,274.649480728758
Africa,,1973,,0.353959749432,287.783450329702
Africa,,1974,,0.3693779878446,265.311028730524
Africa,,1975,,0.41519213514,243.430147388732
Africa,,1976,,0.494215683444,290.379203714974
Africa,,1977,,0.503916657552,304.47425014701304
Africa,,1978,,0.6720849958319999,297.209389458914
Africa,,1979,,1.019987802432,326.760429847719
Africa,,1980,,0.893892199716,300.29983847663505
Africa,,1981,3.2756520362206296,0.9530929424519999,238.447124873694
Africa,,1982,3.59536390112193,1.170406414404,229.240030959617
Africa,,1983,3.6427420681961205,1.5730445844,232.36039677668097
Africa,,1984,4.06243024463121,1.6511424977520002,248.132360080274
Africa,,1985,4.31607838449013,1.820441554776,257.982022994349
Africa,,1986,4.4261682981594905,1.908515274624,257.240886542993
Africa,,1987,4.43078976039763,2.084321493036,257.750420557037
Africa,,1988,4.55375323290185,2.223116206308,268.69851068079896
Africa,,1989,4.42242144179462,2.4386686845120003,296.563355151777
Africa,,1990,4.3964136677431895,2.597726134908,317.830767110789
Africa,,1991,4.48133331731009,2.7844262284680004,329.716006495179
Africa,,1992,4.58330182104261,2.9098180773360003,335.967112029667
Africa,,1993,4.66918898608147,3.0002641981919997,331.58723341564803
Africa,,1994,4.85291432965328,2.84272638318,330.919380551954
Africa,,1995,5.0977562756539,3.141738800604,336.281422944889
Africa,,1996,5.08206664920695,3.3599700133200003,347.168903633785
Africa,,1997,5.40578729323004,3.74979968561357,355.241083746461
Africa,,1998,5.478287434463769,3.9935388741354303,356.435616618224
Africa,,1999,5.46961384203545,4.38021268306857,346.358470873005
Africa,,2000,5.46486358182153,4.86364474654785,371.58560271504996
Africa,,2001,5.45132499486943,5.02719496267084,367.861338519699
Africa,,2002,5.36012455409659,5.25629788398804,370.357699049943
Africa,,2003,5.75985819375674,5.64659918779655,402.79290582824996
Africa,,2004,5.88549031346445,5.907883338729469,448.19544826552595
Africa,,2005,5.923417459121669,6.158307365031691,464.722296768601
Africa,,2006,5.882967230039611,6.66407844462471,475.566202698409
Africa,,2007,5.88061614426803,7.04583756173169,485.491469480233
Africa,,2008,5.975090668756911,7.338909284656861,490.42824777728
Africa,,2009,5.92461980572135,6.91663158310068,471.806589817045
Africa,,2010,6.14509843829053,7.283743600519,487.041285485673
Africa,,2011,6.111063892799599,7.26259020854159,406.03926959205495
Africa,,2012,6.3608896155594,7.443094065102071,442.211610898875
Africa,,2013,6.379174612554739,7.14018080912558,409.51678590013296
Africa,,2014,6.59419818631221,7.152741230571281,390.61872688995004
Africa,,2015,6.33104930238618,7.34248469881387,386.667205721019
Africa,,2016,6.40921630995618,7.412915240643059,364.510579297519
Africa,,2017,6.64298638406003,8.07064164919325,384.820498980892
Africa,,2018,6.83052946226713,8.50494523621576,394.54921077216204
Africa,,2019,6.655600355748299,8.565717390958211,399.05209379466004
Algeria,DZA,1965,,,26.139312342569298
Algeria,DZA,1966,,,33.642476070529
Algeria,DZA,1967,,,38.645241813602
Algeria,DZA,1968,,,42.423748110831205
Algeria,DZA,1969,,,44.435793450881604
Algeria,DZA,1970,,0.08776845,48.3134937027708
Algeria,DZA,1971,,0.0925155,36.7976599496222
Algeria,DZA,1972,,0.11722095,49.7264811083123
Algeria,DZA,1973,,0.1555785,51.698632241813606
Algeria,DZA,1974,,0.17986815,47.8341133501259
Algeria,DZA,1975,,0.2214828,46.803899244332506
Algeria,DZA,1976,,0.27896715,52.2291375314861
Algeria,DZA,1977,,0.266995575,55.7562342569269
Algeria,DZA,1978,,0.41406750000000003,56.9353539042821
Algeria,DZA,1979,,0.6787241999999999,58.0864301007557
Algeria,DZA,1980,,0.554751,51.542455415617106
Algeria,DZA,1981,,0.643134348,45.926685138539
Algeria,DZA,1982,,0.8391603240000001,45.6907052896725
Algeria,DZA,1983,,1.201653468,44.9534231738035
Algeria,DZA,1984,,1.223131752,48.7859622166247
Algeria,DZA,1985,,1.34417214,47.061018261964705
Algeria,DZA,1986,,1.3748195159999999,48.4792487405542
Algeria,DZA,1987,,1.55162808,50.197756297229205
Algeria,DZA,1988,,1.622091924,52.5752695214106
Algeria,DZA,1989,,1.7489938319999998,54.4848161209068
Algeria,DZA,1990,,1.8596509559999999,58.3554899244333
Algeria,DZA,1991,,2.0053097280000003,58.6937279596977
Algeria,DZA,1992,,2.088040896,56.501410579345105
Algeria,DZA,1993,,2.114878284,56.3232115869018
Algeria,DZA,1994,,1.9443917880000001,56.071254408060504
Algeria,DZA,1995,,2.213686764,55.811254408060506
Algeria,DZA,1996,,2.349046008,59.0123198992443
Algeria,DZA,1997,,2.694917556,61.5670251889169
Algeria,DZA,1998,,2.8858356360000004,61.38579345088161
Algeria,DZA,1999,,3.2438489039999996,58.5284590680101
Algeria,DZA,2000,,3.30799068,66.78699999999999
Algeria,DZA,2001,,3.113011404,65.751
Algeria,DZA,2002,,3.201897168,70.89399999999999
Algeria,DZA,2003,,3.3788732039999996,79.005
Algeria,DZA,2004,,3.313977804,83.551
Algeria,DZA,2005,,3.056823,86.43767
Algeria,DZA,2006,,2.92678155,86.20200000000001
Algeria,DZA,2007,,2.93925555,86.48200000000001
Algeria,DZA,2008,,2.97362835,84.76100802399999
Algeria,DZA,2009,,2.7564075,77.234
Algeria,DZA,2010,,2.7862758,73.775
Algeria,DZA,2011,,2.865555,71.675
Algeria,DZA,2012,,2.823975,67.212
Algeria,DZA,2013,,2.8561995,64.78399999999999
Algeria,DZA,2014,,2.8862064,68.771
Algeria,DZA,2015,,2.93080095,67.225
Algeria,DZA,2016,,3.29012145,68.417
Algeria,DZA,2017,,3.34715535,66.648
Algeria,DZA,2018,,3.378375,65.332
Algeria,DZA,2019,,3.1046400000000003,64.316
Angola,AGO,1965,,,0.655
Angola,AGO,1966,,,0.631
Angola,AGO,1967,,,0.537
Angola,AGO,1968,,,0.75
Angola,AGO,1969,,,2.458
Angola,AGO,1970,,,5.065
Angola,AGO,1971,,,5.721
Angola,AGO,1972,,,7.057
Angola,AGO,1973,,,8.175
Angola,AGO,1974,,,8.541
Angola,AGO,1975,,,7.791
Angola,AGO,1976,,,7.564
Angola,AGO,1977,,,7.062
Angola,AGO,1978,,,6.468999999999999
Angola,AGO,1979,,,7.2
Angola,AGO,1980,,,7.428
Angola,AGO,1981,,,7.1579999999999995
Angola,AGO,1982,,,6.41
Angola,AGO,1983,,,8.79
Angola,AGO,1984,,,10.074
Angola,AGO,1985,,,11.452
Angola,AGO,1986,,,13.925999999999998
Angola,AGO,1987,,,17.506
Angola,AGO,1988,,,22.32
Angola,AGO,1989,,,22.642
Angola,AGO,1990,,,23.38
Angola,AGO,1991,,,24.514
Angola,AGO,1992,,,27.153000000000002
Angola,AGO,1993,,,24.81
Angola,AGO,1994,,,27.424
Angola,AGO,1995,,,31.173000000000002
Angola,AGO,1996,,,35.364000000000004
Angola,AGO,1997,,,36.5
Angola,AGO,1998,,,36
